,שם מכשיר,מספר סידורי,סטטוס,גרסת תוכנה,תוכנה,מודל,גרסת קושחה,הגדרות תקשורת,קוד איתחול פינפד,מספר מסוף,מספר מוטב,מספר קופה,שם בית העסק,מספר עוסק,מספר עוסק בסליקה,רשת,סניף,משווק,תאריך הקמה,תאריך גישה אחרונה למערכת,איש קשר,טלפון איש קשר,כתובת מלאה,Warranty Check,Checking E,Check GPRS in H
532,ארומה שערי צדק 1,2203707698.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.203.101-M255.255.255.0-DG172.16.203.254,5985,1806176,,1,"סלא קפה בע""מ",513850271.0,,ארומה,שערי צדק,DORIX,2021-01-14,01/02/2021,גיא,546631400.0,שמואל בייט 12 ירושלים ירושלים,0,1,0
542,ארומה יקום 2,204005312.0,ACTIVE,1.7,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRAQ41-20200814+ROOTFS:VR1420-20201019+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.7.103-M255.255.255.0-DG172.16.7.254,6832,1806408,,2,"יקום אספרסו בר בע""מ",515998151.0,,ארומה,יקום,DORIX,2021-01-14,01/02/2021,מוטי,556601575.0,מחלף יקום  מחלף יקום ,0,1,0
543,ארומה יקום 1,204005305.0,ACTIVE,1.7,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRAQ41-20200814+ROOTFS:VR1420-20201019+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.7.101-M255.255.255.0-DG172.16.7.254,4681,1806408,,1,"יקום אספרסו בר בע""מ",515998151.0,,ארומה,יקום,DORIX,2021-01-14,01/02/2021,מוטי,556601575.0,מחלף יקום  מחלף יקום ,0,1,0
710,ארומה יקנעם 2,2203707702.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.111.116-M255.255.255.0-DG172.16.111.254,7245,1806185,,2,"אספרסו בר בע""מ",515721892.0,,ארומה,יקנעם,DORIX,2021-01-05,01/02/2021,משא,525404691.0,קניון G יוקנעם  יוקנעם ,0,1,0
711,ארומה יקנעם 1,2203707723.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.111.115-M255.255.255.0-DG172.16.111.254,4364,1806185,,1,"אספרסו בר בע""מ",515721892.0,,ארומה,יקנעם,DORIX,2021-01-05,01/02/2021,משא,525404691.0,קניון G יוקנעם  יוקנעם ,0,1,0
807,ארומה הוד השרון עמדה ,2193928449.0,ACTIVE,1.5,אשראית פלאקארד פינפד,UPT1000+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRAU41-20181218+ROOTFS:VRA612-20190116+EMV:VR0012-20171213+EMVCL:VRB616-20190108,ETHERNET:172.16.2.112-M255.255.255.0-DG172.16.2.254,9869,1805826,,3,אביחי מויאל בע''מ,,515900215.0,ארומה,הוד השרון,DORIX,2020-12-31,01/02/2021,אביחי,546356603.0,קניון מרגלית  הוד השרון  הוד השרון ,0,1,0
1087,ארומה עין שמר 2,2203707706.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.145.115-M255.255.255.0-DG172.16.145.254,5324,1806120,,2,"קפה עין שמר בע""מ",515468973.0,,ארומה,עין שמר,DORIX,2020-12-23,14/01/2021,לאה,509944914.0,קניון עין שמר קניון עין שמר,0,1,0
1088,ארומה עין שמר 1,2203707448.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.145.116-M255.255.255.0-DG172.16.145.254,9373,1806120,,1,"קפה עין שמר בע""מ",515468973.0,,ארומה,עין שמר,DORIX,2020-12-23,03/01/2021,לאה,509944914.0,קניון עין שמר קניון עין שמר,0,1,0
1089,"ארומה בורסה ר""ג 3",2203707742.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.24.104-M255.255.255.0-DG172.16.24.254,7642,1806088,,3,"פיפל קופי בע""מ",513364596.0,,ארומה,בורסה רמת גן,DORIX,2020-12-23,01/02/2021,אבי,546929600.0,בורסה רמת גן  רמת גן ,0,1,0
1090,"ארומה בורסה ר""ג 2",2203707584.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.24.105-M255.255.255.0-DG172.16.24.254,9221,1806088,,2,"פיפל קופי בע""מ",513364596.0,,ארומה,בורסה רמת גן,DORIX,2020-12-23,01/02/2021,אבי,546929600.0,בורסה רמת גן  רמת גן ,0,1,0
1091,"ארומה בורסה ר""ג 1",2203707605.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.24.111-M255.255.255.0-DG172.16.24.254,6241,1806088,,1,"פיפל קופי בע""מ",513364596.0,,ארומה,בורסה רמת גן,DORIX,2020-12-23,01/02/2021,אבי,546929600.0,בורסה רמת גן  רמת גן ,0,1,0
1092,ארומה באר יעקב 2,2203707563.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.146.103-M255.255.255.0-DG172.16.146.254,5776,1806053,,2,"חן אספרסו בר בע""מ",515388486.0,,ארומה,באר יעקב,DORIX,2020-12-23,01/02/2021,טל,503333335.0,שא נס 17 באר יעקב באר יעקב,0,1,0
1093,ארומה באר יעקב 1,2203707570.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.146.101-M255.255.255.0-DG172.16.146.254,9832,1806053,,1,"חן אספרסו בר בע""מ",515388486.0,,ארומה,באר יעקב,DORIX,2020-12-23,01/02/2021,טל,503333335.0,שא נס 17 באר יעקב באר יעקב,0,1,0
1094,ארומה קרית גת 2,2203707722.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:10.0.0.23-M255.255.255.0-DG10.0.0.138,6971,1806052,,2,"ארומה קריית גת בע""מ",514863919.0,,ארומה ,קרית גת,DORIX,2020-12-23,18/01/2021,הדס,506508205.0,קניון לב העיר קריית גת  קריית גת,0,1,0
1095,ארומה קרית גת 1,2203707701.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:10.0.0.21-M255.255.255.0-DG10.0.0.138,3491,1806052,,1,"ארומה קריית גת בע""מ",514863919.0,,ארומה ,קרית גת,DORIX,2020-12-23,18/01/2021,הדס,506508205.0,קניון לב העיר קריית גת  קריית גת,0,1,0
1141,"קרנף ראשל""צ 2",2184701770.0,ACTIVE,1.7,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA541-20190426+ROOTFS:VRAA20-20190506+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:10.0.0.102-M255.255.255.0-DG10.0.0.138,9453,1805977,,2,"ק.ש.ע מסעדות בע""מ",514028455.0,,קרנף,ראשון לציון,DORIX,2020-12-22,01/02/2021,עומרי,526510570.0,ילדי טהרן 3 ראשלצ ראשלצ,0,1,0
1142,קרנף אבן גבירול,2203707589.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:10.0.0.99-M255.255.255.0-DG10.0.0.138,6839,1806086,,1,"קלה 10 בע""מ",514153295.0,,,,DORIX,2020-12-22,01/02/2021,ליעז,522838823.0,"אבן גבירול 164, תל אביב תל אביב",0,1,0
1143,ארומה מצפה רמון 2,2203707735.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.162.116-M255.255.255.0-DG172.16.162.254,3715,1806106,,2,"א.ר.י אספרסו בר בע""מ",516162054.0,,ארומה ,מצפה רמון,DORIX,2020-12-22,01/02/2021,רוני,543551340.0,שדרות בן גוריון מצפה רמון מצפה רמון,0,1,0
1144,ארומה מצפה רמון 1,2203707712.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.162.115-M255.255.255.0-DG172.16.162.254,1619,1806106,,1,"א.ר.י אספרסו בר בע""מ",516162054.0,,ארומה ,מצפה רמון,DORIX,2020-12-22,01/02/2021,רוני,543551340.0,שדרות בן גוריון מצפה רמון מצפה רמון,0,1,0
1146,ארומה עבדת 3,2203707598.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:10.0.0.20-M255.255.255.0-DG10.0.0.138,6634,1805421,,6,ציון ומלכה אספרסו בר בע''מ,515410843.0,,ארומה,עבדת,DORIX,2020-12-22,28/01/2021,אביחי שושן,542225852.0,תחנת דלק פז עבדת עבדת,0,1,0
1147,ארומה עבדת 2,2203707703.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:10.0.0.21-M255.255.255.0-DG10.0.0.138,1285,1805421,,5,ציון ומלכה אספרסו בר בע''מ,515410843.0,,ארומה,עבדת,DORIX,2020-12-22,28/01/2021,אביחי שושן,542225852.0,תחנת דלק פז עבדת עבדת,0,1,0
1148,ארומה עבדת 1,2203707700.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:10.0.0.26-M255.255.255.0-DG10.0.0.138,4526,1805421,,4,ציון ומלכה אספרסו בר בע''מ,515410843.0,,ארומה,עבדת,DORIX,2020-12-22,28/01/2021,אביחי שושן,542225852.0,תחנת דלק פז עבדת עבדת,0,1,0
1152,ארומה גבעתיים 2,2203707580.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.60.150-M255.255.255.0-DG172.16.60.254,3744,1806074,,2,"י.ששון ארומה השקעות בע""מ",513665166.0,,ארומה,גבעתיים,DORIX,2020-12-22,01/02/2021,דותן,542401220.0,קניון גבעתיים קניון גבעתיים,0,1,0
1154,ארומה גבעתיים 1,2203707709.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.60.141-M255.255.255.0-DG172.16.60.254,2328,1806074,,1,"י.ששון ארומה השקעות בע""מ",513665166.0,,ארומה,גבעתיים,DORIX,2020-12-22,01/02/2021,דותן,542401220.0,קניון גבעתיים קניון גבעתיים,0,1,0
1180,ארומה חוצות המפרץ 2,2203707583.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:10.0.0.21-M255.255.255.0-DG10.0.0.138,1386,1806087,,2,"א. אלון השקעות בע""מ",513940551.0,,ארומה,חוצות המפרץ,DORIX,2020-12-22,10/01/2021,סיוון,546929593.0,צומת חוצות המפרץ חוצות המפרץ,0,1,0
1181,ארומה חוצות המפרץ 1,2203707575.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:10.0.0.20-M255.255.255.0-DG10.0.0.138,9675,1806087,,1,"א. אלון השקעות בע""מ",513940551.0,,ארומה,חוצות המפרץ,DORIX,2020-12-22,10/01/2021,סיוון,546929593.0,צומת חוצות המפרץ חוצות המפרץ,0,1,0
1223,ארומה בסר 2,204005056.0,ACTIVE,1.7,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRAQ41-20200814+ROOTFS:VR1420-20201019+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.42.110-M255.255.255.0-DG172.16.42.254,1759,1806149,,2,"ארומה בסר בע""מ",515727824.0,,ארומה,בסר,DORIX,2020-12-21,01/02/2021,דור,549371727.0,בן גוריון 1 בני ברק בני ברק,0,1,0
1225,ארומה בסר 1,204005055.0,ACTIVE,1.7,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRAQ41-20200814+ROOTFS:VR1420-20201019+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.42.116-M255.255.255.0-DG172.16.42.254,1964,1806149,,1,"ארומה בסר בע""מ",515727824.0,,ארומה,בסר,DORIX,2020-12-21,01/02/2021,דור,549371727.0,בן גוריון 1 בני ברק בני ברק,0,1,0
1270,ארומה רמבם 2,2203707697.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.17.40.102-M255.255.255.0-DG172.17.40.254,2736,1806081,,2,"א.ב.ר קפה בע""מ ",515389112.0,,ארומה ,"רמב""ם",DORIX,2020-12-20,01/02/2021,גלעד וויבמן ,526220840.0,"בית חולים רמב""ם בית חולים רמב""ם",0,1,0
1271,ארומה רמבם 1,2203707468.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.40.115-M255.255.255.0-DG172.16.40.254,5388,1806081,,1,"א.ב.ר קפה בע""מ ",515389112.0,,ארומה ,"רמב""ם",DORIX,2020-12-20,01/02/2021,גלעד וויבמן ,526220840.0,"בית חולים רמב""ם בית חולים רמב""ם",0,1,0
1272,ארומה ארנה 2,2201800833.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA541-20190426+ROOTFS:VRAA20-20190724+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.157.115-M255.255.255.0-DG172.16.157.254,9458,1805910,,2,"שדה מרילי בע""מ",515774537.0,,ארומה,ארנה,DORIX,2020-12-20,01/02/2021,נתן,528337277.0,פיס ארנה ירושלי ירושלים ,0,1,0
1273,ארומה ארנה 1,2201800837.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA541-20190426+ROOTFS:VRAA20-20190724+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.157.116-M255.255.255.0-DG172.16.157.254,9167,1805910,,1,"שדה מרילי בע""מ",515774537.0,,ארומה,ארנה,DORIX,2020-12-20,01/02/2021,נתן,528337277.0,פיס ארנה ירושלי ירושלים ,0,1,0
1403,ארומה ת.מרכזית י-ם 2,2203707149.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.23.111-M255.255.255.0-DG172.16.23.254,2519,1805809,,2,"אספרסו בר אתי דגן בע""מ",513267583.0,,ארומה,ת.מרכזית י-ם,DORIX,2020-12-15,07/01/2021,אתי,543443355.0,תחנה מרכזית ירושלים ירושלים,0,1,0
1404,ארומה ת.מרכזית י-ם 1 ,2203707152.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.23.110-M255.255.255.0-DG172.16.23.254,4791,1805809,,1,"אספרסו בר אתי דגן בע""מ",513267583.0,,ארומה,ת.מרכזית י-ם,DORIX,2020-12-15,07/01/2021,אתי,543443355.0,תחנה מרכזית ירושלים ירושלים,0,1,0
1405,ארומה קריון 3,2203707141.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:10.0.0.12-M255.255.255.0-DG10.0.0.138,2494,1805588,,3,ארומה קריון ענבי שיטרית בע''מ,514364678.0,,ארומה,קריית ביאליק,DORIX,2020-12-15,01/01/2021,אסי שיטרית,526710016.0,דרך עכו 192 קריית ביאליק קריית ביאליק,0,1,0
1406,ארומה קריון 2,2203707153.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:10.0.0.11-M255.255.255.0-DG10.0.0.138,9394,1805588,,2,ארומה קריון ענבי שיטרית בע''מ,514364678.0,,ארומה,קריית ביאליק,DORIX,2020-12-15,26/01/2021,אסי שיטרית,526710016.0,דרך עכו 192 קריית ביאליק קריית ביאליק,0,1,0
1407,ארומה קריון 1,2203707135.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:10.0.0.10-M255.255.255.0-DG10.0.0.138,9549,1805588,,1,ארומה קריון ענבי שיטרית בע''מ,514364678.0,,ארומה,קריית ביאליק,DORIX,2020-12-15,01/02/2021,אסי שיטרית,526710016.0,דרך עכו 192 קריית ביאליק קריית ביאליק,0,1,0
1443,צומת נתניה 2,2203707127.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.155.112-M255.255.255.0-DG172.16.155.254,7959,1805911,,2,דיל קפה כביש 2,540280617.0,,ארומה,נתניה,DORIX,2020-12-15,01/02/2021,מעיין,524668144.0,צומת נתניה צומת נתניה,0,1,0
1444,צומת נתניה 1,2203707136.0,ACTIVE,1.6,אשראית פלאקארד פינפד,VEGA3000P+PCI+ETHERNET+CONTACTLESS,CTOSAPI:VRA641-20200813+ROOTFS:VRAA20-20201020+EMV:VR0011-20170123+EMVCL:VRA016-20180212,ETHERNET:172.16.155.111-M255.255.255.0-DG172.16.155.254,7277,1805911,,1,דיל קפה כביש 2,540280617.0,,ארומה,נתניה,DORIX,2020-12-15,01/02/2021,מעיין,524668144.0,צומת נתניה צומת נתניה,0,1,0
